ANO,CONTO,GÊNERO,ORDEM,AUTOR,CÓDIGO PT,COM OU SEM TRADUÇÃO,Brazilian Tales,A Chapter of Hats,The Alienist,The Alienist and other stories,Midnight Mass & Other Stories,Ex-Cathedra,Miss Dolar,Trio in A-Minor,The Collected Stories of Machado de Assis,26 Stories,The Devil's Church and Other Stories,The Devil’s Church
1892,Um Sonho e Outro Sonho (1892),CO,191,MA,CO191MA,,,,,,,,,,,,,
1892,Uma Partida (1892),CO,192,MA,CO192MA,Yes,,,,,CO192CL08,,,,,,,
1893,Um Quarto de Século (1893),CO,193,MA,CO193MA,,,,,,,,,,,,,
1893,Vênus! Divina Vênus! (1893),CO,194,MA,CO194MA,,,,,,,,,,,,,
1894,A Inglesinha Barcelos (1894),CO,195,MA,CO195MA,,,,,,,,,,,,,
1894,João Fernandes (1894),CO,196,MA,CO196MA,,,,,,,,,,,,,
1894,Missa do Galo (1894),CO,197,MA,CO197MA,Yes,,CO197CL04,,,CO197CL08,,,,CO197CL10,CO197CL12,,
1894,Um Erradio (1894),CO,198,MA,CO198MA,Yes,,,,,,CO198CL07,,,,,,
1895,Idéias de Canário (1895),CO,199,MA,CO199MA,Yes,,,,,,,,,CO199CL10,CO199CL12,,
1895,Orai Por Ele! (1895),CO,200,MA,CO200MA,,,,,,,,,,,,,
1895,Uma Noite (1895),CO,201,MA,CO201MA,,,,,,,,,,,,,
1897,Flor Anônima (1897),CO,202,MA,CO202MA,Yes,,,,,CO202CL08,,,,,,,
1897,Uma Por Outra (1897),CO,203,MA,CO203MA,,,,,,,,,,,,,
1898,Maria Cora (1898),CO,204,MA,CO204MA,Yes,,,,,,CO204CL07,,,CO204CL10,CO204CL12,,
1899,Lágrimas de Xerxes (1899),CO,205,MA,CO205MA,Yes,,,,,,CO205CL07,,,CO205CL10,,,
1903,Pílades e Orestes (1903),CO,206,MA,CO206MA,Yes,,CO206CL04,,,,,,,CO206CL10,,CO206CL03,
1904,Jogo do Bicho (1904),CO,207,MA,CO207MA,,,,,,,,,,,,,
1905,Anedota do Cabriolet (1905),CO,208,MA,CO208MA,Yes,,,,,,CO208CL07,,CO208CL11,CO208CL10,CO208CL12,,
1905,Marcha Fúnebre (1905),CO,209,MA,CO209MA,Yes,,,,,,,,,CO209CL10,,,
1905,Pai Contra mãe (1905),CO,210,MA,CO210MA,Yes,,CO210CL04,,CO210CL06,,,,,CO210CL10,CO210CL12,,
1905,Suje-se Gordo! (1905),CO,211,MA,CO211MA,Yes,,,,,,,,,CO211CL10,,CO211CL03,
1905,Um Capitão de Voluntários (1905),CO,212,MA,CO212MA,Yes,,,,,,CO212CL07,,,CO212CL10,,,
1905,Umas Férias (1905),CO,213,MA,CO213MA,Yes,,,,,CO213CL08,,,,CO213CL10,,,
1906,Um Incêndio (1906),CO,214,MA,CO214MA,Yes,,,,,CO214CL08,,,,,,,
1907,O Escrivão Coimbra (1907),CO,215,MA,CO215MA,Yes,,,,,CO215CL08,,,,,,,
